COD_TRANSACAO,NUM_CONTA,DATA_TRANSACAO,NOME_TRANSACAO,VALOR_TRANSACAO
40,40,2020-06-26 00:06:21.819,Depósito em espécie,157.600000000000000
41,41,2020-08-06 04:55:44.666,Depósito em espécie,93.300000000000000
42,42,2021-08-20 05:02:29.482,TED - Recebido,1041.000000000000000
43,43,2016-04-12 11:49:42.244,Depósito em espécie,332.200000000000000
44,44,2020-08-10 06:16:06.659,Depósito em espécie,123.600000000000000
45,45,2015-12-01 08:31:02.197,Depósito em espécie,841.800000000000100
46,46,2019-03-01 05:48:54.232,Depósito em espécie,86.500000000000000
47,47,2012-01-06 20:01:29.816,Depósito em espécie,88.300000000000000
48,48,2022-11-19 05:54:45.882,Depósito em espécie,89.100000000000000
49,49,2021-05-13 00:01:46.986,Depósito em espécie,237.700000000000000
50,50,2020-03-09 07:11:05.968,TED - Recebido,1247.000000000000000
51,51,2013-05-24 03:22:50.849,Depósito em espécie,130.800000000000000
52,52,2019-08-25 12:10:24.144,Depósito em espécie,84.200000000000000
53,53,2022-10-20 23:33:58.766,TED - Recebido,115.999999999999990
54,54,2015-01-24 09:22:08.952,TED - Recebido,844.000000000000000
55,55,2021-09-14 10:40:57.598,Depósito em espécie,60.199999999999996
56,56,2020-10-05 01:11:58.013,Depósito em espécie,16.500000000000000
57,57,2013-03-13 20:38:37.822,Depósito em espécie,71.200000000000000
58,58,2014-05-07 21:43:44.874,TED - Recebido,696.000000000000000
59,59,2019-07-11 17:14:38.905,Depósito em espécie,58.800000000000000
60,60,2018-06-25 06:41:51.593,Depósito em espécie,73.800000000000000
61,61,2013-01-25 16:15:40.479,Depósito em espécie,262.600000000000000
62,62,2018-06-06 07:45:11.587,Depósito em espécie,159.900000000000000
63,63,2013-10-11 06:05:10.581,Depósito em espécie,90.300000000000000
64,64,2022-04-29 07:52:54.746,Depósito em espécie,39.400000000000000
65,65,2021-05-18 17:16:35.426,Depósito em espécie,325.600000000000000
66,66,2018-11-20 13:40:18.694,Depósito em espécie,42.300000000000004
67,67,2020-11-27 08:35:20.525,TED - Recebido,944.000000000000000
68,68,2021-12-09 21:10:01.707,Depósito em espécie,45.500000000000000
69,69,2019-12-01 11:18:51.253,Depósito em espécie,74.500000000000000
70,70,2017-08-29 22:43:41.669,Depósito em espécie,116.500000000000000
71,71,2021-10-04 04:19:30.092,Depósito em espécie,127.600000000000000
72,72,2022-08-29 22:07:36.066,Depósito em espécie,257.300000000000000
73,73,2022-08-10 01:16:19.964,Depósito em espécie,31.600000000000000
74,74,2018-06-11 21:41:00.884,TED - Recebido,4414.000000000000000
75,75,2011-11-17 13:41:01.932,Depósito em espécie,288.400000000000000
76,76,2014-08-08 03:48:39.827,Depósito em espécie,241.200000000000020
77,77,2017-10-15 03:04:10.704,TED - Recebido,1426.000000000000000
78,78,2022-09-01 09:22:26.802,Depósito em espécie,150.200000000000000
79,79,2014-01-21 14:36:02.335,Depósito em espécie,395.400000000000000
80,80,2017-12-13 11:27:41.653,Depósito em espécie,305.900000000000000
81,81,2020-02-01 05:51:51.804,Depósito em espécie,426.800000000000000
82,82,2022-03-05 06:52:30.734,Depósito em espécie,413.400000000000030
83,83,2021-12-20 11:38:12.102,TED - Recebido,1871.000000000000000
84,84,2019-11-17 09:40:48.201,TED - Recebido,1838.000000000000000
85,85,2020-12-04 21:52:04.761,Depósito em espécie,48.099999999999994
86,86,2021-08-16 08:25:40.553,Depósito em espécie,380.000000000000000
87,87,2020-12-25 15:18:24.696,Depósito em espécie,515.700000000000000
88,88,2018-09-13 18:02:57.217,TED - Recebido,1663.000000000000000
89,89,2022-10-23 09:33:41.620,Depósito em espécie,257.800000000000000
90,90,2014-12-04 01:22:37.437,Depósito em espécie,130.100000000000000
91,91,2020-01-09 06:38:59.219,Depósito em espécie,194.800000000000000
92,92,2022-03-31 14:21:02.597,TED - Recebido,8599.000000000000000
93,93,2020-05-15 17:01:57.495,Depósito em espécie,52.000000000000000
94,94,2020-09-23 19:46:52.286,TED - Recebido,2159.000000000000000
95,95,2021-12-08 18:11:32.037,Depósito em espécie,455.200000000000050
96,96,2021-09-01 21:38:03.329,Depósito em espécie,133.500000000000000
97,97,2017-04-24 07:09:18.223,Depósito em espécie,169.899999999999980
98,98,2015-06-13 03:23:10.613,TED - Recebido,1804.000000000000000
99,99,2021-06-01 01:45:08.436,Depósito em espécie,1082.000000000000000
100,100,2020-07-13 14:16:05.448,Depósito em espécie,76.900000000000000
101,101,2019-01-27 11:07:20.988,Depósito em espécie,252.200000000000000
102,102,2021-05-15 11:47:41.630,Depósito em espécie,440.600000000000000
103,103,2017-04-11 15:44:55.471,Depósito em espécie,1009.800000000000100
104,104,2019-01-21 22:03:35.240,TED - Recebido,387.000000000000000
105,105,2016-05-16 04:34:26.195,Depósito em espécie,67.200000000000000
106,106,2017-09-29 13:42:22.661,TED - Recebido,1853.000000000000000
107,107,2022-10-02 04:35:01.288,Depósito em espécie,656.300000000000000
108,108,2020-02-27 21:12:54.090,Depósito em espécie,126.600000000000000
109,109,2022-02-08 18:34:19.755,Depósito em espécie,208.100000000000000
110,110,2013-07-07 13:08:38.059,TED - Recebido,813.000000000000100
111,111,2021-08-25 05:16:45.831,Depósito em espécie,945.800000000000000
112,112,2022-11-11 10:40:06.983,Depósito em espécie,65.100000000000000
113,113,2022-03-09 22:15:16.871,TED - Recebido,1570.000000000000000
114,114,2020-03-30 03:49:56.131,Depósito em espécie,53.800000000000000
115,115,2020-04-25 10:26:36.549,Depósito em espécie,270.900000000000000
116,116,2014-03-28 13:25:00.877,Depósito em espécie,140.200000000000000
117,117,2014-10-19 05:39:54.900,Depósito em espécie,42.699999999999996
118,118,2018-11-06 12:14:15.443,Depósito em espécie,122.200000000000000
119,119,2016-06-13 09:47:31.280,Depósito em espécie,136.300000000000000
120,120,2019-03-20 10:10:20.217,Depósito em espécie,41.500000000000000
121,121,2017-04-20 09:33:31.253,Depósito em espécie,37.300000000000000
122,122,2018-01-29 20:06:21.710,Depósito em espécie,85.900000000000000
123,123,2014-08-13 04:45:03.801,Depósito em espécie,21.099999999999998
124,124,2016-05-23 16:08:32.477,Depósito em espécie,131.900000000000000
125,125,2019-07-09 01:23:10.009,Depósito em espécie,119.399999999999990
126,126,2015-08-22 06:14:04.638,Depósito em espécie,662.300000000000100
127,127,2015-08-22 04:27:11.096,Depósito em espécie,148.800000000000000
128,128,2018-10-10 23:34:18.360,TED - Recebido,594.000000000000000
129,129,2022-07-15 17:05:49.275,Depósito em espécie,93.300000000000000
130,130,2014-06-26 06:23:53.224,Depósito em espécie,125.700000000000000
131,131,2010-01-30 14:08:21.479,Depósito em espécie,112.000000000000000
132,132,2021-03-21 12:26:16.297,TED - Recebido,2520.000000000000000
133,133,2020-02-02 16:33:52.303,Depósito em espécie,507.800000000000000
134,134,2019-07-17 02:01:19.184,Depósito em espécie,55.099999999999994
135,135,2020-11-09 12:31:20.580,Depósito em espécie,104.000000000000000
136,136,2021-02-22 20:14:05.168,Depósito em espécie,122.200000000000000
137,137,2019-04-02 02:37:58.679,Depósito em espécie,453.100000000000000
138,138,2014-08-20 18:32:48.623,Depósito em espécie,726.700000000000000
139,139,2016-03-24 21:59:28.300,TED - Recebido,3479.999999999999500
140,140,2022-05-15 05:01:33.875,Depósito em espécie,185.900000000000000
141,141,2022-03-26 14:42:02.177,Depósito em espécie,86.400000000000000
142,142,2011-07-18 16:28:25.642,Depósito em espécie,145.200000000000000
143,143,2021-04-04 02:23:03.140,Depósito em espécie,125.300000000000000
144,144,2018-07-19 08:24:07.323,Depósito em espécie,74.300000000000000
145,145,2022-10-20 22:05:37.436,Depósito em espécie,301.900000000000030
146,146,2011-04-06 12:51:12.095,TED - Recebido,1235.000000000000000
147,147,2019-03-11 03:02:09.332,Depósito em espécie,228.500000000000000
148,148,2020-01-12 03:07:41.625,Depósito em espécie,149.900000000000000
149,149,2022-03-09 04:11:12.535,Depósito em espécie,33.900000000000000
150,150,2020-02-08 05:48:19.429,Depósito em espécie,50.400000000000000
151,151,2016-08-02 15:01:36.716,Depósito em espécie,184.600000000000020
152,152,2022-11-25 10:04:44.875,Depósito em espécie,192.200000000000000
153,153,2021-02-13 21:01:32.649,Depósito em espécie,50.199999999999996
154,154,2018-05-18 17:41:38.796,TED - Recebido,1267.000000000000000
155,155,2020-02-06 02:32:07.688,Depósito em espécie,133.900000000000000
156,156,2012-04-29 18:16:37.029,Depósito em espécie,718.900000000000000
157,157,2012-07-11 14:57:26.450,TED - Recebido,1006.000000000000000
158,158,2021-10-16 03:55:19.852,TED - Recebido,11769.000000000000000
159,159,2018-12-23 23:51:48.463,Depósito em espécie,216.700000000000020
160,160,2013-04-04 07:52:48.620,Depósito em espécie,222.700000000000000
161,161,2019-10-25 01:58:56.037,Depósito em espécie,49.900000000000006
162,162,2022-12-18 09:03:02.902,Depósito em espécie,327.200000000000000
163,163,2022-06-01 03:41:27.771,Depósito em espécie,227.399999999999980
164,164,2021-01-10 13:01:11.653,Depósito em espécie,127.899999999999990
165,165,2020-08-15 22:42:32.640,TED - Recebido,755.000000000000000
166,166,2021-01-16 20:39:34.156,Depósito em espécie,371.900000000000000
167,167,2018-10-05 17:07:07.545,TED - Recebido,819.999999999999900
168,168,2018-05-01 01:32:21.951,Depósito em espécie,807.699999999999900
169,169,2020-03-27 14:47:09.991,Depósito em espécie,26.099999999999998
170,170,2021-11-03 01:09:38.620,Depósito em espécie,78.300000000000000
171,171,2020-05-15 01:49:41.072,Depósito em espécie,426.300000000000000
172,172,2017-01-21 18:14:42.640,Depósito em espécie,184.200000000000020
173,173,2014-02-23 02:48:50.735,Depósito em espécie,354.000000000000000
174,174,2018-05-31 09:44:05.365,Depósito em espécie,122.200000000000000
175,175,2012-12-15 14:01:02.499,Depósito em espécie,224.200000000000020
176,176,2018-03-28 06:45:41.980,Depósito em espécie,54.800000000000004
177,177,2012-05-21 16:11:53.698,Depósito em espécie,254.899999999999980
178,178,2022-03-24 15:35:33.324,Depósito em espécie,336.400000000000000
179,179,2012-10-09 09:28:43.489,Depósito em espécie,50.099999999999994
180,180,2016-08-19 09:01:57.421,Depósito em espécie,60.700000000000000
181,181,2011-10-04 07:28:14.592,Depósito em espécie,134.200000000000000
182,182,2018-10-18 13:30:07.021,Depósito em espécie,153.700000000000000
183,183,2019-06-01 20:39:12.207,Depósito em espécie,166.700000000000020
184,184,2020-09-23 20:06:08.030,Depósito em espécie,273.500000000000000
185,185,2015-03-10 23:58:51.041,Depósito em espécie,173.299999999999980
186,186,2014-05-18 07:39:20.883,Depósito em espécie,219.800000000000000
187,187,2016-11-01 09:09:58.805,Depósito em espécie,58.099999999999994
188,188,2018-05-02 01:59:35.748,Depósito em espécie,268.299999999999950
189,189,2019-08-08 10:32:00.124,Depósito em espécie,365.900000000000030
190,190,2022-08-23 15:30:57.330,Depósito em espécie,140.600000000000000
191,191,2016-08-09 02:14:37.407,Depósito em espécie,112.600000000000000
192,192,2017-12-30 23:50:14.587,Depósito em espécie,218.799999999999980
193,193,2017-03-22 20:40:57.691,Depósito em espécie,16.299999999999997
194,194,2020-04-07 01:31:54.298,Depósito em espécie,72.900000000000000
195,195,2015-06-23 05:14:40.658,TED - Recebido,2929.000000000000000
196,196,2020-06-22 16:37:20.391,Depósito em espécie,641.900000000000000
197,197,2020-04-25 03:50:59.327,Depósito em espécie,149.800000000000000
198,198,2011-09-06 14:52:42.706,TED - Recebido,1643.000000000000000
199,199,2019-03-16 10:48:49.690,Depósito em espécie,241.800000000000000
200,200,2020-08-13 20:58:02.805,Depósito em espécie,40.800000000000000
201,201,2022-04-26 15:53:03.435,TED - Recebido,272.000000000000000
202,202,2016-12-25 10:08:22.197,Depósito em espécie,40.700000000000000
203,203,2022-04-17 20:05:12.669,Depósito em espécie,74.400000000000000
204,204,2019-03-28 10:21:39.697,Depósito em espécie,534.700000000000000
205,205,2019-06-23 19:26:45.301,TED - Recebido,1029.000000000000000
206,206,2018-09-17 13:09:34.035,Depósito em espécie,187.100000000000020
207,207,2017-08-09 16:13:13.284,Depósito em espécie,251.200000000000020
208,208,2018-11-28 11:42:43.225,Depósito em espécie,453.000000000000000
209,209,2016-10-25 07:52:56.930,TED - Recebido,1682.999999999999800
210,210,2012-04-18 19:04:57.050,Depósito em espécie,52.599999999999994
211,211,2022-08-20 12:03:35.557,Depósito em espécie,636.500000000000000
212,212,2022-06-29 17:17:13.408,Depósito em espécie,149.600000000000020
213,213,2020-03-16 19:32:55.154,Depósito em espécie,265.300000000000000
214,214,2013-09-30 11:01:54.069,Depósito em espécie,208.799999999999980
215,215,2021-04-02 23:43:50.576,Depósito em espécie,42.300000000000004
216,216,2011-12-25 17:27:11.414,Depósito em espécie,904.300000000000100
217,217,2013-12-01 18:05:14.045,TED - Recebido,4362.000000000000000
218,218,2015-07-23 14:52:28.303,Depósito em espécie,289.600000000000000
219,219,2019-07-01 20:05:02.345,Depósito em espécie,92.400000000000000
220,220,2015-06-09 02:35:28.573,Depósito em espécie,111.500000000000000
221,221,2018-07-26 16:44:34.647,TED - Recebido,396.000000000000000
222,222,2016-07-03 16:29:59.627,TED - Recebido,906.000000000000000
223,223,2020-06-16 12:54:47.454,Depósito em espécie,214.600000000000020
224,224,2021-11-22 18:59:31.143,TED - Recebido,1015.000000000000000
225,225,2016-12-15 20:44:35.351,Depósito em espécie,108.300000000000000
226,226,2021-11-06 21:44:25.548,Depósito em espécie,256.800000000000000
227,227,2017-08-07 11:34:57.054,Depósito em espécie,147.100000000000020
228,228,2015-07-07 04:29:30.436,TED - Recebido,301.000000000000000
229,229,2019-12-12 09:19:05.462,Depósito em espécie,74.400000000000000
230,230,2020-11-05 01:48:00.425,Depósito em espécie,280.500000000000000
231,231,2017-06-09 02:22:31.668,TED - Recebido,5027.000000000000000
232,232,2022-06-01 02:44:44.463,Depósito em espécie,34.700000000000000
233,233,2016-08-29 11:07:44.830,Depósito em espécie,30.000000000000000
234,234,2020-05-04 14:51:54.945,TED - Recebido,1862.000000000000000
235,235,2013-06-30 08:57:08.425,TED - Recebido,1239.000000000000000
236,236,2016-06-08 16:57:30.609,Depósito em espécie,150.100000000000000
237,237,2019-12-18 21:08:53.455,Depósito em espécie,475.500000000000000
238,238,2021-12-12 03:05:08.721,TED - Recebido,2859.000000000000000
239,239,2022-03-01 09:42:29.489,TED - Recebido,630.000000000000000
240,240,2020-09-22 20:26:39.156,Depósito em espécie,476.400000000000000
241,241,2020-10-18 17:59:44.483,TED - Recebido,2105.000000000000000
242,242,2018-12-18 11:53:53.311,Depósito em espécie,156.900000000000000
243,243,2021-05-17 02:12:20.065,Depósito em espécie,39.600000000000000
244,244,2019-03-13 08:57:24.153,TED - Recebido,2735.000000000000000
245,245,2018-04-11 19:38:39.445,TED - Recebido,8784.000000000000000
246,246,2013-01-11 18:39:04.959,Depósito em espécie,333.200000000000000
247,247,2015-10-10 08:28:35.170,TED - Recebido,2792.000000000000000
248,248,2020-02-25 20:55:16.951,Depósito em espécie,82.100000000000010
249,249,2016-12-03 22:26:56.715,Depósito em espécie,166.900000000000000
250,250,2016-12-29 08:59:45.293,Depósito em espécie,232.300000000000000
251,251,2017-09-02 18:22:44.749,Depósito em espécie,781.500000000000000
252,252,2022-05-06 23:11:58.196,Depósito em espécie,474.799999999999950
253,253,2017-12-24 03:20:27.319,Depósito em espécie,234.899999999999980
254,254,2022-10-22 18:53:03.173,Depósito em espécie,414.300000000000000
255,255,2019-03-06 15:55:52.532,Depósito em espécie,591.199999999999900
256,256,2021-10-16 13:19:38.147,Depósito em espécie,474.799999999999950
257,257,2011-02-10 01:54:13.544,Depósito em espécie,103.400000000000000
258,258,2019-06-11 15:12:21.711,Depósito em espécie,83.500000000000000
259,259,2020-07-28 21:11:02.072,TED - Recebido,8089.000000000000000
260,260,2021-04-22 00:47:15.377,TED - Recebido,1205.000000000000000
261,261,2012-01-29 16:39:44.627,Depósito em espécie,26.200000000000003
262,262,2022-11-30 11:43:34.775,Depósito em espécie,191.700000000000020
263,263,2013-04-08 09:34:34.213,Depósito em espécie,359.099999999999970
264,264,2022-01-23 12:17:01.959,Depósito em espécie,116.100000000000000
265,265,2016-12-25 06:54:37.060,TED - Recebido,1113.000000000000000
266,266,2018-06-25 09:21:30.608,Depósito em espécie,305.599999999999970
267,267,2020-04-18 07:25:08.754,Depósito em espécie,153.200000000000000
268,268,2018-03-16 04:10:24.919,Depósito em espécie,299.800000000000000
269,269,2015-05-05 05:43:48.098,TED - Recebido,413.000000000000000
270,270,2017-04-22 23:38:37.676,Depósito em espécie,145.800000000000000
271,271,2022-09-14 12:25:49.407,TED - Recebido,4998.000000000000000
272,272,2013-08-22 13:47:55.485,Depósito em espécie,55.199999999999996
273,273,2022-07-31 08:28:00.198,TED - Recebido,4097.000000000000000
274,274,2014-08-09 07:54:43.572,Depósito em espécie,493.200000000000000
275,275,2015-03-07 02:53:25.633,Depósito em espécie,31.299999999999997
276,276,2016-12-25 07:02:03.845,Depósito em espécie,447.200000000000000
277,277,2022-11-23 09:59:46.472,Depósito em espécie,221.400000000000000
278,278,2015-03-03 22:09:58.966,Depósito em espécie,104.399999999999990
279,279,2023-01-04 01:41:16.776,Depósito em espécie,280.799999999999950
280,280,2016-10-07 02:39:01.460,Depósito em espécie,198.600000000000000
281,281,2019-08-03 10:51:40.347,Depósito em espécie,124.800000000000010
282,282,2016-01-14 10:12:28.678,Depósito em espécie,48.900000000000000
283,283,2015-01-28 19:04:41.586,TED - Recebido,3790.999999999999500
284,284,2011-04-18 22:20:28.601,Depósito em espécie,331.400000000000000
285,285,2015-07-27 23:30:46.598,Depósito em espécie,139.400000000000000
286,286,2022-05-09 05:57:20.987,Depósito em espécie,65.600000000000000
287,287,2018-12-03 19:06:21.092,Depósito em espécie,58.300000000000000
288,288,2018-10-23 03:25:10.669,Depósito em espécie,1201.400000000000000
289,289,2017-11-09 14:34:22.540,Depósito em espécie,169.700000000000000
290,290,2022-02-25 20:17:13.998,TED - Recebido,1173.000000000000000
291,291,2017-08-19 05:25:34.439,Depósito em espécie,74.600000000000000
292,292,2015-01-21 04:54:44.408,TED - Recebido,6288.000000000000000
293,293,2015-07-24 00:14:30.022,Depósito em espécie,59.100000000000000
294,294,2015-03-06 02:57:03.121,Depósito em espécie,23.599999999999998
295,295,2017-06-30 12:05:13.723,Depósito em espécie,915.100000000000000
296,296,2011-09-10 13:31:39.883,Depósito em espécie,53.300000000000000
297,297,2021-06-29 17:22:08.624,Depósito em espécie,99.700000000000000
298,298,2020-12-29 04:48:37.785,Depósito em espécie,299.600000000000000
299,299,2019-10-25 12:58:53.862,Depósito em espécie,119.200000000000000
300,300,2021-06-04 02:28:23.904,Depósito em espécie,115.300000000000000
301,301,2019-10-29 18:57:02.218,Depósito em espécie,119.500000000000000
302,302,2020-05-09 18:33:26.639,TED - Recebido,3229.999999999999500
303,303,2014-09-18 03:39:50.979,Depósito em espécie,291.100000000000000
304,304,2020-04-05 06:35:08.543,Depósito em espécie,122.500000000000000
305,305,2021-04-09 03:51:09.910,TED - Recebido,329.000000000000000
306,306,2017-02-23 18:55:53.766,Depósito em espécie,69.700000000000000
307,307,2018-05-16 17:41:03.991,TED - Recebido,602.000000000000000
308,308,2017-06-22 05:31:23.030,Depósito em espécie,21.299999999999997
309,309,2020-05-06 23:10:13.322,Depósito em espécie,233.400000000000000
310,310,2018-05-09 12:20:06.136,Depósito em espécie,55.000000000000000
311,311,2021-10-28 00:31:35.623,Depósito em espécie,144.300000000000000
312,312,2022-09-06 23:14:09.870,TED - Recebido,4362.000000000000000
313,313,2019-12-27 23:20:23.152,Depósito em espécie,27.400000000000002
314,314,2020-10-17 08:21:50.503,Depósito em espécie,45.400000000000000
315,315,2017-08-15 09:06:24.860,Depósito em espécie,50.800000000000000
316,316,2019-09-15 18:34:05.022,Depósito em espécie,161.800000000000000
317,317,2010-11-13 12:31:24.480,Depósito em espécie,80.100000000000000
318,318,2020-07-05 16:34:58.983,Depósito em espécie,103.600000000000000
319,319,2013-04-18 06:55:31.473,Depósito em espécie,152.000000000000000
320,320,2014-09-04 21:33:10.821,Depósito em espécie,34.200000000000000
321,321,2015-10-10 01:40:30.827,Depósito em espécie,85.000000000000000
322,322,2021-01-10 14:50:49.277,Depósito em espécie,1009.200000000000000
323,323,2022-02-13 19:16:53.901,TED - Recebido,7743.000000000001000
324,324,2017-01-16 04:00:13.649,Depósito em espécie,22.599999999999998
325,325,2010-09-24 17:44:06.647,Depósito em espécie,51.700000000000000
326,326,2022-09-12 02:30:44.761,Depósito em espécie,67.100000000000000
327,327,2018-08-09 07:55:17.630,Depósito em espécie,64.300000000000000
328,328,2020-10-13 18:17:33.837,Depósito em espécie,365.200000000000050
329,329,2015-06-28 16:59:14.844,TED - Recebido,2493.000000000000000
330,330,2020-07-28 08:07:24.987,Depósito em espécie,770.400000000000100
331,331,2018-12-13 00:38:17.542,Depósito em espécie,535.200000000000000
332,332,2017-12-13 09:36:17.165,Depósito em espécie,59.800000000000004
333,333,2014-05-19 13:05:55.918,Depósito em espécie,122.400000000000000
334,334,2022-06-22 06:40:00.272,Depósito em espécie,405.000000000000000
335,335,2020-12-23 14:51:00.823,Depósito em espécie,129.600000000000020
336,336,2017-09-22 07:22:46.827,Depósito em espécie,92.200000000000000
337,337,2018-02-09 23:36:13.504,Depósito em espécie,84.600000000000010
338,338,2021-07-09 20:30:17.711,Depósito em espécie,627.100000000000000
339,339,2020-08-09 12:06:18.600,Depósito em espécie,141.900000000000000
340,340,2014-12-30 09:59:44.254,Depósito em espécie,335.500000000000000
341,341,2019-05-29 05:27:58.395,Depósito em espécie,238.000000000000000
342,342,2015-09-15 06:36:21.442,Depósito em espécie,20.900000000000000
343,343,2021-04-14 02:55:57.417,Depósito em espécie,94.500000000000000
344,344,2022-03-07 12:42:25.667,Depósito em espécie,134.600000000000020
345,345,2018-10-17 13:51:03.478,Depósito em espécie,275.500000000000000
346,346,2013-10-11 12:43:28.984,Depósito em espécie,116.899999999999990
347,347,2019-12-18 20:39:14.291,Depósito em espécie,167.200000000000000
348,348,2019-12-08 07:40:10.798,Depósito em espécie,89.600000000000010
349,349,2021-07-23 21:38:31.590,Depósito em espécie,254.500000000000000
350,350,2017-04-24 20:28:04.282,Depósito em espécie,480.799999999999950
351,351,2022-02-03 01:44:04.920,Depósito em espécie,91.700000000000000
352,352,2021-04-13 01:22:53.690,TED - Recebido,558.000000000000000
353,353,2022-10-14 11:50:21.183,Depósito em espécie,287.700000000000000
354,354,2015-12-05 12:21:59.118,Depósito em espécie,357.100000000000000
355,355,2022-07-15 21:24:23.964,Depósito em espécie,118.800000000000010
356,356,2020-03-21 19:37:42.870,Depósito em espécie,174.500000000000000
357,357,2019-02-02 17:11:32.268,Depósito em espécie,285.000000000000000
358,358,2019-02-10 03:25:35.329,Depósito em espécie,174.000000000000000
359,359,2014-01-15 08:04:01.173,Depósito em espécie,21.400000000000002
360,360,2012-02-26 18:55:40.076,TED - Recebido,2151.000000000000000
361,361,2016-05-06 23:29:51.521,Depósito em espécie,194.100000000000000
362,362,2016-12-15 07:58:01.277,Depósito em espécie,187.200000000000000
363,363,2021-02-20 03:24:06.951,Depósito em espécie,197.200000000000000
364,364,2021-12-17 00:38:29.599,Depósito em espécie,100.500000000000000
365,365,2016-06-15 21:23:08.341,Depósito em espécie,50.500000000000000
366,366,2015-08-05 08:57:51.770,Depósito em espécie,41.500000000000000
367,367,2019-02-03 17:40:50.345,Depósito em espécie,258.299999999999950
368,368,2020-01-06 08:02:41.861,TED - Recebido,2182.000000000000000
369,369,2021-09-02 14:08:20.433,Depósito em espécie,116.700000000000000
370,370,2018-10-02 09:10:19.048,TED - Recebido,1784.000000000000000
371,371,2016-10-08 21:35:21.355,Depósito em espécie,639.500000000000000
372,372,2019-08-24 19:44:48.048,Depósito em espécie,156.600000000000000
373,373,2011-08-21 09:55:55.670,Depósito em espécie,114.700000000000000
374,374,2018-06-17 07:17:23.794,Depósito em espécie,62.300000000000004
375,375,2020-02-03 22:53:10.994,Depósito em espécie,128.700000000000000
376,376,2017-12-10 13:37:44.105,Depósito em espécie,65.700000000000000
377,377,2022-06-03 16:12:44.162,Depósito em espécie,239.000000000000000
378,378,2021-04-29 09:22:18.488,TED - Recebido,1485.000000000000000
379,379,2012-01-25 02:02:34.457,Depósito em espécie,378.100000000000000
380,380,2021-12-24 05:40:29.823,Depósito em espécie,751.599999999999900
381,381,2022-04-12 04:46:22.654,Depósito em espécie,204.200000000000020
382,382,2020-05-18 15:41:53.306,Depósito em espécie,123.200000000000000
383,383,2019-05-19 01:37:59.793,TED - Recebido,3554.999999999999500
384,384,2018-07-16 10:14:28.645,Depósito em espécie,971.100000000000000
385,385,2019-09-22 11:59:27.861,TED - Recebido,14144.000000000000000
386,386,2013-10-14 12:23:40.180,Depósito em espécie,26.099999999999998
