COD_PROPOSTA,COD_CLIENTE,COD_COLABORADOR,DATA_ENTRADA_PROPOSTA,TAXA_JUROS_MENSAL,VALOR_PROPOSTA,VALOR_FINANCIAMENTO,VALOR_ENTRADA,VALOR_PRESTACAO,QUANTIDADE_PARCELAS,CARENCIA,STATUS_PROPOSTA
15,866,86,2019-05-07 22:38:35.614,0.0104,122345.3096836673800,161932.71,39587.40031633262000,2751.272816910120600,60,1,Validação documentos
16,794,12,2016-03-26 01:20:17.620,0.0102,40227.6343240758200,47847.45,7619.81567592417650,689.929808532161700,89,3,Validação documentos
17,625,9,2018-07-21 15:23:59.740,0.0244,137413.6974254611000,209004.64,71590.94257453890000,4418.414875944309000,59,2,Validação documentos
18,939,22,2013-07-29 16:53:09.337,0.0230,76319.4034096973500,141218.82,64899.41659030265000,2104.458740858760400,79,0,Aprovada
19,9,20,2022-12-05 02:58:05.853,0.0169,108347.5755042824000,203054.19,94706.61449571760000,6172.011573505518000,21,2,Em análise
20,994,76,2014-07-31 19:01:53.929,0.0230,53415.3193144978000,99131.96,45716.64068550221000,11431.367426316116000,5,2,Aprovada
21,768,27,2022-11-30 03:45:43.214,0.0195,64449.2658449075500,84723.84,20274.57415509244700,1581.294438494051500,82,1,Em análise
22,591,99,2022-09-10 03:50:39.942,0.0144,126055.2469239720400,171812.95,45757.70307602797400,2257.567179872520700,114,3,Aprovada
23,724,6,2010-11-12 19:36:11.907,0.0088,199634.3468772776500,241982.30,42347.95312272232000,3268.702748543284000,88,0,Aprovada
24,455,45,2018-02-14 13:04:38.037,0.0200,72109.9315166905300,101357.80,29247.86848330947000,2268.474715251359000,51,6,Aprovada
25,429,42,2010-04-13 21:15:12.596,0.0238,71426.5949285997200,100462.25,29035.65507140028800,18931.612662549425000,4,1,Em análise
26,53,50,2017-02-07 15:25:20.921,0.0149,77214.8976429524800,101363.13,24148.23235704753500,8368.298902568022000,10,2,Validação documentos
27,658,37,2014-11-04 11:30:59.775,0.0190,162464.4684642361000,208887.30,46422.83153576390000,4187.254603318815500,71,4,Em análise
28,844,89,2016-01-30 17:10:01.838,0.0202,146585.9650518573200,193481.32,46895.35494814269600,4395.210293658655000,56,4,Validação documentos
29,951,35,2019-07-09 09:03:13.311,0.0174,9622.4146474846020,14787.70,5165.28535251540000,233.794933208976720,73,1,Validação documentos
30,204,19,2011-02-27 04:29:43.174,0.0150,116473.6701351366600,141281.72,24808.04986486333300,15559.021616091371000,8,2,Enviada
31,494,67,2016-02-28 16:08:35.009,0.0130,55354.4705735905500,69564.41,14209.93942640945000,992.322725217338800,100,5,Aprovada
32,164,18,2010-03-19 16:10:06.968,0.0147,106202.7975597100200,182274.96,76072.16244028998000,11497.718053746770000,10,2,Validação documentos
33,283,64,2013-12-14 14:50:15.865,0.0119,53027.1124892500400,101334.71,48307.59751074997000,924.485651440031800,97,2,Enviada
34,237,44,2010-05-23 12:41:01.654,0.0181,12776.5829942664330,21606.69,8830.10700573356600,341.589559097978400,63,3,Enviada
35,415,47,2016-09-09 12:41:06.021,0.0108,21036.4879170224800,30861.65,9825.16208297752000,625.678696835613400,42,4,Em análise
36,307,87,2015-02-14 05:38:27.706,0.0239,3164.0514759416405,6057.03,2892.97852405835900,87.353260030163260,85,3,Validação documentos
37,680,91,2018-07-21 09:16:28.026,0.0242,65207.0275654204500,128461.87,63254.84243457954000,1732.856293706680000,101,0,Aprovada
38,48,20,2017-02-13 01:00:47.093,0.0100,14480.0391848255480,20150.05,5670.01081517445200,270.547358092863500,77,5,Aprovada
39,971,71,2011-02-19 23:11:00.297,0.0229,57789.6446694729500,78642.83,20853.18533052705000,3061.738498546864000,25,4,Em análise
40,208,39,2014-12-21 10:10:56.821,0.0205,54250.4991502476550,77235.83,22985.33084975234700,1653.868447384946600,55,1,Aprovada
41,776,62,2020-08-09 15:22:08.048,0.0209,11461.6320680389740,20491.47,9029.83793196102700,297.623829778183560,79,4,Enviada
42,386,1,2021-12-26 09:08:52.560,0.0191,146684.3125508460200,172594.45,25910.13744915397500,3397.652457118747400,92,3,Aprovada
43,693,100,2010-11-20 01:45:00.763,0.0212,180599.3690064500000,216619.79,36020.42099355000000,10002.794463040910000,23,0,Em análise
44,923,30,2014-07-18 12:15:05.152,0.0130,24520.1944112321540,41675.91,17155.71558876785000,611.732575287594500,57,0,Em análise
45,637,84,2018-07-22 11:06:50.573,0.0202,73883.2629127155000,110148.29,36265.02708728450000,2100.279006849916600,62,3,Enviada
46,138,77,2022-12-16 11:08:30.531,0.0154,104989.6483047144600,181329.04,76339.39169528555000,2008.261738635085500,107,6,Em análise
47,628,79,2013-09-22 11:26:50.557,0.0090,77599.0383532929100,131746.98,54147.94164670710000,3360.730083951060000,26,2,Aprovada
48,914,52,2010-10-06 14:44:06.311,0.0080,11161.1001593250220,16197.36,5036.25984067497800,160.485991456261670,102,2,Validação documentos
49,841,46,2012-07-08 17:42:20.929,0.0100,85757.7691967737000,125553.08,39795.31080322629000,1330.165994099634000,104,0,Aprovada
50,705,92,2011-10-07 09:50:19.109,0.0158,4786.0337686104810,5856.34,1070.30623138951840,727.607415953408300,7,5,Aprovada
51,90,26,2019-07-16 15:37:42.048,0.0243,15741.2782273230510,19676.99,3935.71177267694930,1141.394022603789200,17,0,Enviada
52,390,57,2022-02-03 20:23:01.439,0.0244,10509.8543424223920,16081.28,5571.42565757760900,282.405270208480940,99,0,Validação documentos
53,555,71,2022-11-04 15:16:27.862,0.0110,81293.2887817700100,111370.83,30077.54121822999500,1418.339192167171600,91,2,Aprovada
54,21,58,2010-03-19 06:50:42.749,0.0103,54419.4686666406400,86228.97,31809.50133335936000,806.064150260656300,116,0,Validação documentos
55,104,26,2014-04-08 13:26:42.812,0.0109,107151.6243752722800,179969.87,72818.24562472772000,2360.011837676167000,63,2,Validação documentos
56,515,27,2016-10-07 00:17:49.720,0.0140,72810.3368347721700,121572.52,48762.18316522784000,6633.739991544880500,12,1,Validação documentos
57,122,47,2010-08-22 23:49:38.484,0.0247,88725.9217045432200,159148.62,70422.69829545678000,3048.748270875793400,52,4,Em análise
58,146,83,2016-03-18 02:20:52.013,0.0240,32581.6117280791700,62893.41,30311.79827192083400,841.006551349194400,112,0,Validação documentos
59,933,44,2019-06-26 22:45:38.700,0.0249,103737.0796076430400,203845.26,100108.18039235697000,2794.261213961074600,105,5,Aprovada
60,883,88,2014-12-21 20:12:17.353,0.0236,166219.0728133936400,197935.75,31716.67718660636500,5248.066343077001000,59,3,Enviada
61,364,71,2010-04-14 09:37:45.186,0.0148,90575.0339325132100,131286.33,40711.29606748678000,3263.609923814948600,36,4,Enviada
62,773,44,2011-05-26 13:18:09.124,0.0184,110441.1871601922000,132702.41,22261.22283980779300,2440.963063687335000,98,0,Enviada
63,133,77,2017-08-02 03:10:57.357,0.0085,138258.8231024613000,179292.15,41033.32689753869600,4822.360952664455000,33,3,Validação documentos
64,178,100,2022-06-19 05:08:19.550,0.0083,95978.2122737953000,126678.02,30699.80772620469400,19676.247734062490000,5,0,Aprovada
65,822,52,2018-01-21 22:12:36.390,0.0141,1063.6408931605629,1585.29,521.64910683943720,160.638577765299300,7,0,Aprovada
66,900,98,2012-01-07 14:59:07.746,0.0157,64973.9502906935200,122579.42,57605.46970930647500,1240.131458276415000,111,1,Em análise
67,35,16,2013-12-10 21:01:52.208,0.0141,170119.8507810329000,235105.82,64985.96921896711000,4176.495509123535000,61,6,Validação documentos
68,905,46,2019-01-16 10:58:04.366,0.0081,58718.9880576099800,72521.61,13802.62194239001800,1193.687278836873000,63,1,Enviada
69,538,21,2016-11-12 08:24:21.832,0.0165,146211.4129556007000,213880.70,67669.28704439932000,3784.465085031989500,62,6,Aprovada
70,567,93,2014-07-02 12:36:22.276,0.0106,90573.8459557147000,137168.86,46595.01404428529000,6995.636471963409000,14,0,Aprovada
71,550,6,2010-11-10 08:05:01.371,0.0205,73378.3509091088200,89338.64,15960.28909089118000,1726.631021629364300,101,2,Aprovada
72,661,71,2021-06-06 21:40:36.765,0.0224,127669.6936401371300,188209.35,60539.65635986287000,3299.262101765095000,91,3,Enviada
73,70,27,2013-01-04 23:03:36.085,0.0189,145925.1200837348000,189077.25,43152.12991626518500,6417.410811962303000,30,3,Validação documentos
74,418,55,2021-03-01 20:56:39.672,0.0119,84875.7267992487200,106121.35,21245.62320075128800,1777.418782515940400,71,2,Aprovada
75,281,59,2018-05-24 14:18:06.420,0.0203,73852.4478168131000,126751.27,52898.82218318691000,1650.182632410961000,119,4,Em análise
76,585,54,2017-01-01 22:49:58.446,0.0178,55321.2336363487700,83421.15,28099.91636365122000,1167.882931077811200,105,4,Aprovada
77,771,53,2018-08-31 02:17:23.102,0.0166,109956.4674473024600,176255.69,66299.22255269754000,2219.226951140719400,105,2,Em análise
78,63,23,2016-06-27 14:25:11.311,0.0182,118994.8409639755100,151979.65,32984.80903602448000,5182.514782203864000,30,1,Validação documentos
79,101,32,2013-11-15 20:38:30.570,0.0201,103942.2711749307000,130294.98,26352.70882506929800,12740.611243863397000,9,4,Em análise
80,700,68,2013-05-11 10:07:34.478,0.0242,66508.5833885772700,101063.00,34554.41661142273400,4601.757457183158000,18,0,Aprovada
81,939,79,2012-12-27 13:02:13.939,0.0133,68043.2889941737800,118841.01,50797.72100582621000,1486.931423601592500,71,3,Enviada
82,425,40,2010-07-08 07:46:30.759,0.0109,47047.1466710957760,90080.87,43033.72332890422000,3641.682626019310600,14,5,Aprovada
83,141,22,2014-03-07 22:08:58.235,0.0100,54060.0172007326300,83920.11,29860.09279926737000,1497.735238324651000,45,6,Aprovada
84,933,72,2016-04-20 21:24:19.004,0.0175,43726.6032874993100,83084.01,39357.40671250068400,1319.402761580539200,50,2,Enviada
85,222,47,2020-08-22 21:44:13.371,0.0179,54054.9585390529600,82490.34,28435.38146094703600,1903.972131220115400,40,1,Validação documentos
86,702,49,2018-10-28 01:23:20.197,0.0136,61741.5738637378450,108303.14,46561.56613626215400,1053.709007762723300,118,0,Enviada
87,830,35,2018-04-26 12:46:48.937,0.0139,114285.6486539395000,184254.79,69969.14134606051000,3489.613281924141600,44,0,Em análise
88,391,15,2012-12-19 08:36:53.732,0.0177,80454.9117478269900,127165.64,46710.72825217300000,1709.598651266290300,102,1,Enviada
89,632,50,2019-12-20 05:20:48.991,0.0191,104687.5559513326700,200871.45,96183.89404866734000,2920.462595777756600,61,1,Aprovada
90,205,27,2013-07-04 01:50:45.134,0.0172,132626.6786609001600,228060.12,95433.44133909982000,4257.596193874939000,45,0,Validação documentos
91,799,69,2015-12-11 21:01:25.724,0.0134,105425.0326137292300,150033.13,44608.09738627077600,1948.409322522462200,97,1,Validação documentos
92,26,80,2022-07-19 07:38:11.114,0.0152,151397.2472890068000,184627.78,33230.53271099320000,4344.813777578569000,50,1,Validação documentos
93,860,74,2021-11-16 21:57:09.046,0.0130,149492.3546803438800,184193.75,34701.39531965611000,2954.875913549491000,83,4,Enviada
94,862,16,2022-08-05 10:58:11.882,0.0218,36025.2073862156500,66100.10,30074.89261378436000,1041.797999437868000,65,3,Enviada
95,465,69,2010-11-08 15:57:15.624,0.0201,44730.8155036957250,58709.44,13978.62449630427500,11750.225516442428000,4,6,Em análise
96,860,63,2015-02-07 19:46:37.367,0.0235,159549.8308750629000,224631.51,65081.67912493709000,5347.418718796789000,52,2,Validação documentos
97,280,62,2010-02-11 01:25:51.898,0.0081,19543.3784512014140,23769.07,4225.69154879858500,435.490600895650300,56,3,Enviada
98,301,54,2010-07-10 10:35:54.235,0.0241,196512.1112925643000,249076.74,52564.62870743569000,8226.430860142204000,36,6,Validação documentos
99,508,87,2012-07-02 02:05:19.898,0.0088,76331.9338841354500,127994.99,51663.05611586456500,1512.820965229028800,67,5,Validação documentos
100,860,71,2010-12-01 10:57:44.028,0.0160,20080.1754090567200,26189.33,6109.15459094328250,1133.377811016844400,21,0,Enviada
101,553,45,2016-03-17 08:45:13.211,0.0137,170595.4345062592800,245688.99,75093.55549374070000,3368.198081062422700,87,1,Validação documentos
102,693,56,2011-11-08 07:54:14.512,0.0194,206287.8864807923000,246908.22,40620.33351920770000,5182.258369737779000,77,5,Enviada
103,896,26,2020-02-22 18:48:59.808,0.0121,26442.3462906051940,41421.42,14979.07370939480300,669.802174850508900,54,5,Enviada
104,877,1,2010-08-09 11:35:29.548,0.0126,45158.4539267523940,73573.95,28415.49607324760300,886.523418745287600,82,5,Validação documentos
105,351,2,2020-01-17 14:05:24.614,0.0132,29620.6523136006870,44454.28,14833.62768639931200,957.902592308016000,40,4,Em análise
106,704,54,2011-09-08 07:07:13.391,0.0175,30660.2480599824200,50998.15,20337.90194001758200,757.610280710692300,71,3,Aprovada
107,535,5,2017-08-06 14:39:33.977,0.0162,54500.3712964129950,80639.69,26139.31870358700300,2508.115907348521000,27,5,Em análise
108,857,52,2022-06-19 18:55:22.912,0.0124,153168.9230816865500,211316.71,58147.78691831345000,3446.121568802428000,65,4,Aprovada
109,427,22,2011-10-27 08:59:20.481,0.0171,36097.1127674398740,56859.33,20762.21723256012800,1324.605972654590000,37,2,Enviada
110,895,94,2020-06-27 11:40:17.085,0.0223,90956.5180874430200,138946.78,47990.26191255698000,2786.906330506006000,59,2,Aprovada
111,353,93,2014-07-21 03:25:50.241,0.0223,124714.9450328039100,237819.84,113104.89496719609000,5170.591248095164000,35,5,Enviada
112,798,15,2013-05-23 11:03:56.495,0.0154,5100.7439883279920,6272.49,1171.74601167200790,132.216872949792050,59,2,Validação documentos
113,979,13,2019-10-12 03:40:08.136,0.0149,69555.7162688732500,110163.41,40607.69373112675400,1448.391961234826000,85,2,Em análise
114,471,19,2018-03-29 01:23:45.372,0.0147,100177.9533596095600,151094.80,50916.84664039044000,2014.280623915636600,90,4,Enviada
115,29,56,2019-07-01 20:17:37.327,0.0125,46541.5230097991660,79607.38,33065.85699020084000,2179.188910581826300,25,1,Enviada
116,213,55,2012-03-06 19:30:06.926,0.0229,178916.0761269307000,244437.80,65521.72387306928000,4440.998377443818000,113,3,Aprovada
117,872,83,2012-01-24 06:34:58.434,0.0240,81471.0020464212300,104023.31,22552.30795357877700,4371.492717810252000,25,5,Aprovada
118,11,52,2013-02-17 18:06:43.297,0.0152,107640.4391078201300,151430.85,43790.41089217987000,2191.442259086090400,91,0,Aprovada
119,36,9,2020-05-22 13:07:21.490,0.0165,123589.7856353415400,167413.59,43823.80436465845000,2563.292722103258700,97,6,Aprovada
120,887,1,2019-10-08 07:30:30.618,0.0125,147199.5146949387000,179452.70,32253.18530506132400,3501.866163338534000,60,6,Aprovada
121,184,53,2016-02-25 01:13:11.136,0.0212,22886.0256007692620,42648.36,19762.33439923074000,638.517597529634500,68,3,Em análise
122,546,73,2022-08-14 11:21:22.841,0.0174,127042.5174903790000,217829.22,90786.70250962100000,17148.759776728148000,8,5,Enviada
123,775,9,2019-03-06 11:44:09.353,0.0115,54542.1772237665600,81635.86,27093.68277623344700,2613.576843237091000,24,6,Enviada
124,305,95,2014-03-26 04:28:27.681,0.0243,134110.2058298428000,171318.61,37208.40417015718400,3559.023674881050000,103,5,Aprovada
125,206,94,2019-10-29 00:33:43.218,0.0191,33365.2850147954160,46394.75,13029.46498520458200,755.592252230714500,98,1,Aprovada
126,161,21,2015-05-14 20:27:32.069,0.0210,1287.8473244252598,2542.86,1255.01267557474030,107.128844172263100,14,6,Enviada
127,159,96,2013-05-11 09:55:37.410,0.0224,24738.1816940177300,38004.55,13266.36830598227200,25292.316963963756000,1,1,Aprovada
128,703,82,2013-01-13 12:35:31.246,0.0148,27696.4944706559550,32646.39,4949.89552934404600,1019.611751373630700,35,3,Validação documentos
129,117,62,2016-04-12 08:14:08.617,0.0240,137601.0926681624300,165091.73,27490.63733183758800,5310.927787554756000,41,5,Em análise
130,93,42,2017-11-09 09:01:55.859,0.0209,73673.4360665333100,101122.54,27449.10393346669000,1885.570978689329600,82,0,Aprovada
131,372,35,2020-11-25 02:43:00.880,0.0091,82058.9086106570300,129512.92,47454.01138934296000,2748.256838552865700,35,1,Em análise
132,993,48,2022-07-20 15:50:10.723,0.0218,31622.9101735738150,57577.05,25954.13982642618800,831.185306648407200,82,0,Aprovada
133,155,97,2019-02-22 22:40:39.910,0.0187,98669.5563923901400,155260.39,56590.83360760988600,2457.500123660405000,75,0,Validação documentos
134,783,51,2016-04-26 09:46:34.075,0.0248,172272.7763648926300,221262.16,48989.38363510736000,4898.019549411117000,84,3,Enviada
135,392,90,2012-05-15 13:50:02.823,0.0102,36951.3044055135250,56757.20,19805.89559448647600,713.704297599666100,74,6,Em análise
136,174,90,2021-12-25 02:34:37.135,0.0244,128083.9262612608600,185261.99,57178.06373873913000,5937.410119332028000,31,2,Em análise
137,766,78,2011-12-29 06:05:53.667,0.0205,143855.9765523147000,190476.36,46620.38344768528600,5141.616806052369000,42,1,Em análise
138,161,83,2013-06-30 09:40:58.582,0.0181,171446.7116878130800,215617.80,44171.08831218690500,7859.281004291141500,28,1,Validação documentos
139,491,62,2011-10-08 13:06:48.781,0.0231,171559.8369523631700,223437.96,51878.12304763681500,9699.139314553524000,23,3,Em análise
140,924,31,2018-08-27 04:03:02.412,0.0174,20476.1767113215600,35469.86,14993.68328867843800,1274.899093767831100,19,2,Enviada
141,967,12,2012-12-30 14:29:49.387,0.0165,153016.3388044081800,199852.65,46836.31119559181000,3702.231089011618700,70,3,Aprovada
142,634,69,2015-02-05 19:11:45.722,0.0129,42206.6089809514700,67431.78,25225.17101904853000,726.439412942572300,108,0,Em análise
143,181,11,2013-02-08 17:13:51.698,0.0245,27720.9974488041370,33193.63,5472.63255119586000,720.590831260747000,118,0,Enviada
144,754,29,2020-03-05 23:32:40.320,0.0122,10267.5964328856940,19277.77,9010.17356711430700,163.395952381139000,120,4,Aprovada
145,314,14,2016-03-25 07:10:19.527,0.0189,106184.2158001423800,150593.82,44409.60419985762600,8195.984324304098000,15,5,Aprovada
146,706,80,2022-07-17 19:04:38.000,0.0129,39747.3445208976050,77307.01,37559.66547910239000,662.531173939568200,116,1,Validação documentos
147,421,36,2014-10-29 21:31:22.591,0.0135,4400.0132950384070,7066.35,2666.33670496159300,80.065770578004600,101,1,Enviada
148,834,74,2020-04-21 04:11:54.419,0.0098,115746.4670261097800,155684.10,39937.63297389023000,2148.036283288687000,77,3,Aprovada
149,326,69,2012-03-29 20:29:14.811,0.0177,33855.6740694773500,62520.86,28665.18593052265400,738.762071991598900,95,5,Aprovada
150,28,23,2016-07-17 01:30:39.735,0.0218,129080.2279192560400,241222.68,112142.45208074395000,3220.159461104171400,96,5,Validação documentos
151,554,15,2022-11-17 17:50:40.600,0.0235,106531.1370618801400,171773.04,65241.90293811985600,3861.004823654184300,45,4,Aprovada
152,888,61,2012-12-29 18:51:03.485,0.0104,135685.3700353146000,163881.15,28195.77996468539300,2738.419426517569300,70,1,Validação documentos
153,833,69,2015-02-12 13:36:08.039,0.0122,55750.2233193628600,74679.22,18928.99668063713800,4356.094890879610000,14,5,Validação documentos
154,510,12,2015-08-18 19:55:05.604,0.0146,31109.0259902063900,46749.49,15640.46400979360600,633.784638498685800,87,6,Em análise
155,977,16,2020-04-20 08:13:05.265,0.0160,65427.5632147332940,81493.73,16066.16678526670100,2151.381791315001000,42,3,Em análise
156,796,41,2019-03-16 09:33:55.499,0.0235,56977.9385302042140,72948.18,15970.24146979578000,1648.567951868961700,72,5,Em análise
157,973,57,2011-01-28 00:06:45.931,0.0231,194667.2218763537800,249996.69,55329.46812364623500,5291.891066661010000,83,1,Aprovada
158,562,3,2016-07-07 10:48:42.963,0.0118,11909.3613285214780,14858.34,2948.97867147852280,224.235522772239530,84,3,Aprovada
159,818,47,2016-11-19 01:39:18.691,0.0156,184235.5904571937000,248341.17,64105.57954280631000,5406.146101772487000,49,2,Enviada
160,35,77,2015-11-07 10:42:32.573,0.0095,121472.7223702469200,144834.86,23362.13762975307300,1775.656960341278400,111,1,Aprovada
161,944,86,2012-09-03 03:23:39.722,0.0241,29096.7963783870600,49143.61,20046.81362161294200,1197.290086015028500,37,5,Em análise
162,539,47,2010-03-20 18:42:29.694,0.0160,29330.6936224108400,55559.82,26229.12637758916000,2214.929516583328700,15,2,Validação documentos
163,276,26,2020-06-14 09:06:33.863,0.0163,9110.3999535848420,16136.57,7026.17004641515800,733.080684305875000,14,4,Em análise
164,727,96,2013-01-10 12:00:15.062,0.0174,17590.3097593656500,27648.38,10058.07024063435000,543.561462391214500,48,2,Aprovada
165,408,72,2012-08-05 20:50:26.347,0.0157,63744.7855640911660,104590.46,40845.67443590884000,4092.856164171946000,18,3,Validação documentos
166,701,45,2017-10-05 05:02:13.559,0.0184,175259.8340136427000,228886.90,53627.06598635729000,4179.098649906023000,81,6,Validação documentos
167,834,87,2020-01-04 01:58:00.216,0.0164,158419.1434042403000,199131.12,40711.97659575967000,3273.819243634581700,97,2,Enviada
168,474,21,2019-04-08 13:05:04.197,0.0199,81552.6583837545600,151513.11,69960.45161624542000,1794.967071759145300,119,2,Aprovada
169,783,76,2019-08-30 14:21:58.318,0.0099,89036.0868793402800,158935.68,69899.59312065972000,1824.327226644591300,67,4,Em análise
170,73,95,2022-05-27 22:37:29.851,0.0205,87442.0819977204100,103694.05,16251.96800227959800,2280.324733954081000,76,3,Aprovada
171,481,40,2011-08-03 23:41:39.462,0.0117,47713.6743128476500,72383.55,24669.87568715235500,776.882393195902800,109,4,Aprovada
172,135,47,2017-09-21 19:38:33.334,0.0134,47081.2623254250360,87248.82,40167.55767457497000,1298.099681558587700,50,2,Em análise
173,17,41,2010-10-17 09:53:16.305,0.0233,40416.8443404059360,72342.22,31925.37565959407000,1105.071671403982200,83,5,Em análise
174,447,47,2011-04-22 06:23:14.277,0.0109,7421.8538635551250,9964.48,2542.62613644487500,149.300631147741740,72,6,Em análise
175,734,34,2015-08-30 19:15:16.441,0.0093,157431.3030998682000,200950.79,43519.48690013179000,9077.831761015950000,19,5,Aprovada
176,990,16,2012-10-20 06:36:25.072,0.0197,5705.6319404345880,11045.53,5339.89805956541300,128.671657109026230,106,0,Em análise
177,153,34,2015-08-31 03:09:31.601,0.0113,65120.8884168450300,82351.85,17230.96158315497000,8559.461262405031000,8,5,Aprovada
178,257,33,2016-07-24 13:01:40.857,0.0092,55798.7451196139100,81874.72,26075.97488038609300,4573.691204291585000,13,5,Aprovada
179,536,81,2011-12-16 11:47:52.674,0.0109,11449.3175078092720,13964.05,2514.73249219072660,176.703819645393000,113,6,Validação documentos
180,834,83,2010-01-04 12:19:08.805,0.0120,34905.8619681565500,63925.22,29019.35803184345800,810.266612343444600,61,5,Validação documentos
181,352,82,2021-01-13 21:22:42.930,0.0126,133983.2431647508000,165382.34,31399.09683524920000,6281.083818223704000,25,4,Enviada
182,49,97,2021-11-02 07:01:01.734,0.0218,46654.3068662718650,76131.75,29477.44313372813500,1368.877884532401000,63,4,Aprovada
183,855,60,2013-06-13 10:00:42.734,0.0173,142685.2823773308200,194346.54,51661.25762266918000,4589.577803642474500,45,6,Enviada
184,722,41,2017-05-31 15:58:56.902,0.0113,11599.9155448636010,19792.64,8192.72445513639800,296.219322048931800,52,2,Aprovada
185,939,12,2011-08-12 03:55:04.801,0.0242,67990.1137454410200,82316.95,14326.83625455897000,23769.020599443174000,3,2,Enviada
186,990,23,2012-01-28 14:03:56.409,0.0123,124261.9804509573200,185198.04,60936.05954904270000,2001.404758804656700,118,2,Aprovada
187,644,68,2021-01-21 01:41:33.515,0.0111,128414.8875810046600,198381.11,69966.22241899533000,2942.912156024746000,60,6,Validação documentos
188,532,21,2020-12-10 07:58:14.905,0.0089,97390.5039068677600,137027.79,39637.28609313224000,2789.331553225853000,42,5,Validação documentos
189,299,57,2013-09-30 06:54:35.407,0.0141,16376.3524495206660,25089.82,8713.46755047933400,5613.440293362650000,3,6,Validação documentos
190,224,88,2018-07-29 23:58:42.648,0.0242,71359.3730426734500,88061.99,16702.61695732654300,6463.447837256581000,13,2,Enviada
191,126,66,2016-04-09 06:16:38.984,0.0219,133978.1883229270000,219194.84,85216.65167707300000,4774.854332900038000,44,2,Em análise
192,688,40,2016-07-18 04:21:40.444,0.0185,22245.3693736686870,39931.85,17686.48062633131000,484.940312779724200,103,2,Aprovada
193,41,82,2012-12-14 03:43:31.207,0.0230,34147.9206093351300,58525.51,24377.58939066487000,1995.268608527714400,22,5,Em análise
194,768,82,2022-04-29 09:28:07.472,0.0157,138180.9280142569600,221394.25,83213.32198574304000,3608.975674695665000,59,1,Aprovada
195,465,55,2016-02-29 20:28:06.444,0.0228,12500.5669058224520,17972.97,5472.40309417754800,608.919463211920000,28,3,Enviada
196,698,38,2012-05-02 17:09:49.037,0.0091,109817.0844418974600,130124.13,20307.04555810254000,1628.339218603604400,105,2,Em análise
197,413,93,2015-03-07 02:42:56.719,0.0220,107257.4910303322200,189448.39,82190.89896966779000,5461.002937527030000,26,6,Validação documentos
198,415,44,2019-05-17 06:08:15.062,0.0165,79008.0299040044200,122804.16,43796.13009599558000,1990.764055202132600,65,1,Em análise
199,74,33,2011-02-16 05:15:00.523,0.0208,89126.0008285462000,177292.90,88166.89917145380000,2319.414099384580400,78,5,Validação documentos
200,899,61,2011-06-23 08:28:01.567,0.0191,28174.9812871483800,43979.55,15804.56871285162200,997.250889841578700,41,2,Enviada
201,892,14,2010-04-14 23:42:42.212,0.0239,66869.7737737892500,133515.68,66645.90622621075000,2217.592066185672600,54,3,Validação documentos
202,760,43,2017-03-02 10:38:39.032,0.0169,166751.0269310336000,202623.23,35872.20306896642000,18263.998015464014000,10,4,Aprovada
